"Variable","f","n_per_group"
"amf_hyphae_in_dry_soil_m_g",NA,NA
"dse_hyphae_in_dry_soil_m_g",NA,NA
"rlc_p",NA,NA
"dse_rlc",NA,NA
"vesicle_rlc",NA,NA
"arb_rlc",NA,NA
