"trait","group1","group2","group3","group4","group5","group6"
"c",1.57519422361002,1.30990844953853,1.29626589746617,0.920930356745258,0.69775273035091,1.02468148121884
"d13c",-1.55936225936922,-1.5040911248073,-1.19723514004122,-1.03098368762119,-0.863489372881163,-0.57091250779224
"d15n",-1.44513160946211,-1.03177173570722,-1.03170171485293,-0.970699177693393,-0.992869275444669,-0.0840988669280338
"n",1.2703088977734,1.14042258541439,0.694459111917969,0.70167411118201,0.0533789868176958,1.20235319835684
"p",0.396333274083728,-0.308920714857737,-0.859923828365245,-0.281221128588224,-0.98784613693629,-0.900475320885672
"shoot_wt",-1.00636973382724,-0.576752592370463,-0.849990066907394,-0.280925353522849,-0.307276223088799,0.386377861012688
"florets",-1.08602976128278,-0.781968516592447,-0.654713094328357,-0.188004558722324,-0.000946500808403019,0.478518595748033
