"PC","VarExplained","Cumulative"
1,0.252577648858012,0.252577648858012
2,0.247353465011637,0.49993111386965
3,0.159178189691871,0.65910930356152
4,0.12425357874304,0.78336288230456
5,0.0918554677340609,0.875218350038621
6,0.0741577552785948,0.949376105317216
7,0.0506238946827841,1
