"trait","group1","group2"
"c",1.34157697947446,0.849109022491262
"d13c",-1.34062170625878,-0.854532755565871
"d15n",-1.09305151092647,-0.773409861744274
"n",0.927940369056993,0.56686661889957
"p",-0.490972448483647,-0.662385741070147
"shoot_wt",-0.791097453799926,-0.110631195845
"florets",-0.720551689622543,0.00523425066940095
