"trait","assigned_group","p.value","padj"
"c",1,0.00743534334810564,0.0130118508591849
"d13c",2,0.00194579948546842,0.00525143767534433
"d15n",2,0.0411580287522261,0.0576212402531166
"n",1,0.0987313210701743,0.115186541248537
"p",1,0.399550165025823,0.399550165025823
"shoot_wt",2,0.000817043937450218,0.00525143767534433
"florets",2,0.00225061614657614,0.00525143767534433
