"trait","group1","group2","group3"
"c",1.57519422361002,1.192437809564,0.828524230698082
"d13c",-1.55936225936922,-1.22644872125559,-0.746458626845593
"d15n",-1.44513160946211,-1.01428992373521,-0.629361112038015
"n",1.2703088977734,0.808011408653229,0.512968671433355
"p",0.396333274083728,-0.556829421480648,-0.952897810516043
"shoot_wt",-1.00636973382724,-0.619090780163291,-0.0298145894482042
"florets",-1.08602976128278,-0.553181654006942,0.190839537814171
