"trait","assigned_group","p.value","padj"
"c",1,0.0409766873410037,0.0478061352311709
"d13c",3,0.00155650189585975,0.00542308093176487
"d15n",3,0.0080625688872889,0.0141094955527556
"n",1,0.126646453613619,0.126646453613619
"p",1,0.00154931689293585,0.00542308093176487
"shoot_wt",3,0.0110893672860601,0.0155251142004842
"florets",3,0.00232417754218494,0.00542308093176487
