genotype,treatment,geno_num,rep,num_of_plants,root_weigher,wet_root_wt,root_biomass_wet_wt,root_amf_wet_wt,dry_root_wt,dry_root_wt_date,root_wt_notes,harvest_date,paper_towel,numeric_pt,algea_color,algea_color_one,algea_color_two,shoot_wt,shoot_weigher,purpleness,shoot_weigh_date,weigh_notes,gh_notes,centipede,harvest_notes,num_shoot_wt
329435,S,19,Z,1,RP,NA,NA,NA,3.55,14:03:00,NA,45462,1,3,black green,black,green,6,ET,0,32:29.8,NA,NA,n,NA,6
330168,L,20,A,1,RP,NA,NA,NA,3.16,30:45:00,NA,45461,NA,NA,pink,pink,NA,3.7,ET,0,47:44.4,NA,NA,n,Roots sampled before harvest,3.7
330168,L,20,B,2,J,NA,NA,NA,3.76,22:42:00,NA,45464,small,1,black,black,NA,3.85,MC,1,16:41.4,NA,NA,n,1 guess,1.925
330168,L,20,C,1,LEY,NA,NA,NA,2.31,47:47:00,NA,45472,NA,NA,black,black,NA,3.68,ET,1,14:46.5,NA,NA,n,NA,3.68
330168,S,20,X,1,J,NA,NA,NA,4.01,22:42:00,NA,45461,NA,NA,black red,black,red,4.71,ET,1,47:44.4,"2 bags both labeled 20X, combining bags per Sedona's instruction","No germ, transplanted 26 Apr",n,Likely 20X started June 17 &; ?ok?,4.71
330168,S,20,Y,1,LEY,NA,NA,NA,2.19,43:05:00,NA,45472,NA,NA,black,black,NA,4.79,ET,1,16:24.1,NA,NA,n,NA,4.79
330168,S,20,Z,2,J,NA,NA,NA,2.47,22:42:00,NA,45464,small,1,black,black,NA,4.24,MC,1,16:41.4,NA,NA,n,NA,2.12
330195,L,21,A,2,J,NA,NA,NA,2.97,22:17:00,NA,45464,small,1,black,black,NA,3.61,MC,3,06:35.7,NA,NA,n,NA,1.805
330195,L,21,B,1,RP,NA,NA,NA,1.51,52:38:00,NA,45475,med,2,NA,NA,NA,1.31,ET,3,39:22.8,P = High 2 / Low 3,NA,n,NA,1.31
330195,L,21,C,1,RP,NA,NA,NA,1.56,14:03:00,NA,45462,NA,NA,NA,NA,NA,1.99,ET,2,50:20.0,NA,NA,n,NA,1.99
330195,S,21,X,3,J,NA,NA,NA,2.29,09:33:00,NA,45461,NA,NA,NA,NA,NA,3.4,ET,2,47:44.4,NA,NA,n,NA,1.133333333
330195,S,21,Y,3,J,NA,NA,NA,2.22,22:17:00,NA,45464,very little,1,NA,NA,NA,3.17,MC,3,16:41.4,NA,NA,n,NA,1.056666667
330195,S,21,Z,3,RP,NA,NA,NA,2.22,14:03:00,NA,45462,small,1,NA,NA,NA,3.42,ET,2,44:28.9,NA,NA,n,2 guessed,1.14
337680,L,22,A,1,LEY,NA,NA,NA,2.87,14:07:00,NA,45477,1,3,black,black,NA,6.13,ET,2,55:50.3,NA,NA,n,NA,6.13
337680,L,22,B,1,LEY,NA,NA,NA,2.38,27:05:00,NA,45477,little,1,NA,NA,NA,4.63,ET,1,03:36.9,NA,NA,n,NA,4.63
337680,L,22,C,1,LEY,NA,NA,NA,0.57,22:42:00,NA,45476,very little,1,NA,NA,NA,1.2,ET,1,21:32.8,NA,"No germ, transplanted 26 Apr",n,NA,1.2
337680,S,22,X,1,LEY,NA,NA,NA,2.65,28:30:00,NA,45471,partially,2,black,black,NA,6.65,MC,1,59:07.6,NA,NA,n,NA,6.65
337680,S,22,Y,1,LEY,NA,NA,NA,2,22:42:00,NA,45476,NA,NA,NA,NA,NA,5.17,ET,2,50:03.0,NA,NA,n,NA,5.17
337680,S,22,Z,1,NA,NA,NA,NA,1.97,16:40:00,NA,45477,very little,1,NA,NA,NA,4.71,ET,2,53:32.1,NA,NA,n,NA,4.71
453106,L,23,A,1,J,NA,NA,NA,0.98,02:29:00,NA,45490,45296,1,NA,NA,NA,2.02,ET,1,40:37.9,NA,"Reseeded 29 Apr, reseeded 14 Mar, transplanted from 23x 28 may",n,NA,2.02
453106,S,23,X,1,LEY,NA,NA,NA,1.18,22:42:00,NA,45476,little bit,1,NA,NA,NA,1.85,ET,2,15:05.8,P = High 1 / Low 2,"Reseeded 29 Apr, reseeded 14 Mar",n,NA,1.85
453106,S,23,Y,2,J,NA,NA,NA,3.38,45:43:00,NA,45464,small,1,yellow,yellow,NA,5.16,MC,1,06:35.7,NA,"Reseeded 29 Apr, sprouted ~9 may",n,NA,2.58
453106,S,23,Z,1,LEY,NA,NA,NA,2.64,25:04:00,NA,45471,some,1,black,black,NA,6.21,MC,0,18:26.2,NA,"Reseeded 29 Apr, sprouted ~9 may",n,NA,6.21
506030,L,24,A,3,LEY,NA,NA,NA,2.82,41:37:00,NA,45471,1,3,black green,black,green,2.69,MC,0,39:33.7,NA,"No germ, transplanted 26 Apr",n,NA,0.896666667
506030,L,24,B,2,LEY,NA,NA,NA,3.24,11:12:00,NA,45463,some,1,black,black,NA,2.67,MC,0,46:35.0,NA,NA,n,NA,1.335
506030,L,24,C,3,LEY,NA,NA,NA,3.45,58:10:00,NA,45474,1,3,black green,black,green,4.81,ET,1,33:02.0,NA,"No germ, transplanted 26 Apr",n,NA,1.603333333
506030,S,24,X,1,LEY,NA,NA,NA,5.44,13:33:00,NA,45470,1,3,black yellow,black,yellow,4.09,MC,0,06:35.7,NA,NA,n,The REAL 24X,4.09
506030,S,24,Y,2,J,NA,NA,NA,3.21,22:42:00,NA,45464,NA,NA,NA,NA,NA,3.17,MC,0,16:41.4,NA,NA,n,NA,1.585
506030,S,24,Z,3,LEY,NA,NA,NA,3.94,12:51:00,NA,45474,Big,3,NA,NA,NA,3.53,ET,1,21:25.6,NA,NA,n,NA,1.176666667
513898,L,25,A,1,RP,NA,NA,NA,2.79,51:11:00,NA,45462,1,3,black,black,NA,2.32,ET,1,42:17.0,NA,NA,n,NA,2.32
513898,L,25,B,2,J,NA,NA,NA,1.91,22:42:00,NA,45461,NA,NA,NA,NA,NA,2.31,ET,2,13:55.8,Purple striping,NA,n,1 guessed,1.155
513898,L,25,C,2,J,NA,NA,NA,2.81,09:33:00,NA,45461,NA,NA,NA,NA,NA,1.64,ET,1,11:28.0,Reddish,NA,n,NA,0.82
513898,S,25,X,2,J,NA,NA,NA,4.09,22:42:00,NA,45464,small,1,black,black,NA,3.51,MC,1,16:41.4,NA,NA,n,NA,1.755
513898,S,25,Y,4,LEY,NA,NA,NA,4.22,43:56:00,NA,45471,1,3,black,black,NA,3.8,MC,0,8/19/2024 16:13,NA,NA,n,NA,0.95
513898,S,25,Z,2,J,NA,NA,NA,5.1,14:55:00,NA,45470,1,3,NA,NA,NA,3.89,MC,0,06:35.7,NA,NA,n,NA,1.945
514456,L,26,A,1,RP,NA,NA,NA,2.51,14:03:00,NA,45462,NA,NA,NA,NA,NA,3.4,ET,1,24:26.5,NA,"No germ, transplanted 26 Apr",n,NA,3.4
514456,L,26,B,1,LEY,NA,NA,NA,1.79,35:20:00,NA,45471,disintegrated,0,red,red,NA,2.57,MC,1,24:20.4,NA,"No germ, transplanted 26 Apr",n,NA,2.57
514456,L,26,C,1,LEY,NA,NA,NA,1.06,49:14:00,NA,45460,NA,NA,NA,NA,NA,1.38,ET,1,26:00.4,NA,NA,n,NA,1.38
514456,S,26,X,1,RP,NA,NA,NA,2.95,14:03:00,NA,45462,NA,NA,NA,NA,NA,2.98,ET,0,03:53.9,NA,NA,n,NA,2.98
514456,S,26,Y,1,WW,NA,NA,NA,3.08,12:04:00,NA,45475,NA,NA,NA,NA,NA,4.06,ET,1,44:54.8,NA,NA,n,NA,4.06
514456,S,26,Z,1,J,NA,NA,NA,2.7,22:42:00,NA,45461,1,3,NA,NA,NA,2.97,ET,1,47:44.4,NA,NA,y,Centipede,2.97
527045,L,27,A,1,LEY,NA,NA,NA,1.16,18:34:00,NA,45477,very little,1,NA,NA,NA,2.39,ET,1,02:01.0,NA,NA,n,NA,2.39
527045,L,27,B,1,J,NA,NA,NA,1.45,22:42:00,NA,45461,NA,NA,NA,NA,NA,2.84,ET,1,50:45.0,NA,"No germ, transplanted 26 Apr",n,NA,2.84
527045,L,27,C,1,RP,NA,NA,NA,2.31,45:49:00,NA,45475,small,1,NA,NA,NA,3.64,ET,1,19:34.2,NA,NA,n,NA,3.64
527045,S,27,X,2,LEY,NA,NA,NA,3.27,24:45:00,NA,17 Jul or 9 Jul or 27 Jun,NA,NA,NA,NA,NA,5.75,WW,NA,14:45.3,NA,NA,n,NA,NA
527045,S,27,Y,3,LEY,NA,NA,NA,2.46,21:02:00,NA,45477,little,1,NA,NA,NA,4.82,ET,2,00:07.8,NA,NA,n,NA,1.606666667
527045,S,27,Z,1,LEY,NA,NA,NA,3.72,22:42:00,NA,45476,med,2,NA,NA,NA,7.7,ET,1,19:25.0,NA,NA,n,NA,7.7
533792,L,28,B,1,LEY,NA,NA,NA,2.07,49:16:00,NA,17 Jul or 9 Jul or 27 Jun,NA,NA,NA,NA,NA,4.25,WW,NA,17:20.8,NA,NA,n,NA,NA
533792,L,28,C,1,J,NA,NA,NA,0.56,02:29:00,NA,45490,NA,NA,NA,NA,NA,0.87,ET,0,57:18.1,NA,"Reseeded 29 Apr, reseeded 14 Mar, sprouted ~22 may",n,NA,0.87
533792,S,28,X,1,LEY,NA,NA,NA,2.17,06:31:00,NA,45471,disintegrated,0,green,green,NA,5.67,MC,1,21:13.8,NA,NA,n,NA,5.67
533792,S,28,Y,1,RP,NA,NA,NA,1.95,14:03:00,NA,45462,very little,1,NA,NA,NA,2.2,ET,1,46:52.0,NA,"Reseeded 29 Apr, reseeded 14 Mar",n,NA,2.2
533792,S,28,Z,1,RP,NA,NA,NA,1.56,14:03:00,NA,45462,little,1,green,green,NA,2.75,ET,0,54:11.5,NA,"Reseeded 29 Apr, sprouted ~9 may",n,NA,2.75
535793,L,29,A,1,LEY,NA,NA,NA,1.91,35:27:00,NA,45474,NA,NA,NA,NA,NA,2.83,ET,1,12:34.3,NA,NA,n,NA,2.83
535793,L,29,C,1,J,NA,NA,NA,0.87,22:42:00,NA,45461,NA,NA,NA,NA,NA,1,ET,0,44:43.9,NA,"Reseeded 29 Apr, sprouted ~9 may",n,NA,1
535793,S,29,X,1,RP,NA,NA,NA,0.95,14:03:00,NA,45462,NA,NA,NA,NA,NA,1.51,ET,0,30:37.2,NA,NA,n,NA,1.51
535793,S,29,Y,1,J,8.14,6.89,1.25,1.41,10:46:00,NA,45490,NA,NA,NA,NA,NA,1.65,ET,0,55:44.0,NA,"Reseeded 29 Apr, reseeded 14 Mar",n,NA,1.65
