genotype,treatment,leaf_sample_weight_g,main_shoot_wtkg,florets,shoot_wt,gh_notes,rep,position,no_fungus,am_hyphae,dse,lse,arb,coil,vesicle_or_spore,dse_and_am,ves_and_arb,olpidium,mold,plasmodiophorids,dot_line,extra_structures,non_am,fine_endo,fine_or_coarse_am,segment_length,slide_spread,tot,rlc_p,scoring_notes,score_date,scorer,soil_wt_tin_number,tin_boat_weight,soil_wet_wt_in_tared_tin,dried_soil_and_tin_weight_g,emh_precise_wt_weight_in_tube,date_initial_wet_weight_initials_g_for_tin_and_falcon_tube,soil_dry_weight_final_g,date_final_weight_intials_for_tin_boat_only,soil_moisture_content,emh_precise_wt_dry_g,date_emh_extraction_initials,shoot_weigher,filter_paper_size_um,date_permount_added,emh_notes,emh_initials,emh_date,coarse_amf_emh,fine_amf_emh,dse_hyphae_emh,spores_emh,microsclerotia_emh,amf_tot_emh,dse_tot_emh,squares_per_field,length_of_amf_per_slide,amf_in_dry_soil,length_of_dse_per_slide,dse_in_dry_soil,emh_extraction_notes,d13c,c,d15n,n,cn_ratio,p,k,np_ratio,leaf_notes
92270,Watered,6.24,1.19,12,1196.24,NA,B,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.13627557,37.51552427,5.954749501,1.582027147,23.71357808,0.267,0.82,5.925195307,NA
92270,Watered,11.18,0.48,1,491.18,NA,C,16,72,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,fc,l,1,80,3.75,"lots of stele, not enough cortex",04:35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.05207509,40.24981789,5.779854613,1.058877191,38.01179044,0.162,0.66,6.536278957,NA
92270,Watered,9.2,0.9,4,909.2,NA,D,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.83,39.4,7.04,2.15,18.3255814,0.345,0.99,6.231884058,NA
92270,Watered,3.8,1.22,7,1223.8,NA,E,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.93,37.73,5.66,1.6,23.58125,0.304,0.75,5.263157895,NA
92270,Droughted,8.69,0.76,3,768.69,NA,F,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.08,40.98,6.99,2.08,19.70192308,0.264,0.81,7.878787879,NA
92270,Droughted,5.73,1,7,1005.73,NA,G,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.94849696,39.45760967,5.985029597,1.557250457,25.33799845,0.239,1.31,6.515692289,chunky
92270,Droughted,4.57,0.43,2,434.57,NA,H,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.44,43.24,5.7,2.1,20.59047619,0.273,0.79,7.692307692,NA
92270,Droughted,8.89,2.05,0,2058.89,NA,I,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.26,43.91,5.98,2.37,18.52742616,0.216,0.92,10.97222222,NA
92270,Droughted,7.24,1.19,5,1197.24,NA,J,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.14673128,39.41288411,3.782627044,1.882009058,20.94192052,0.325,0.89,5.790797102,fine
152961,Watered,9.49,1.94,0,1949.49,"Block ""A"" roots seem to be more degraded, stripped, and deviod of fine root. lets check this when mounting or scoring",A,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.03,41.85,7.5,2.19,19.10958904,0.289,1.39,7.577854671,NA
